sentence_lengths_words,sentence_lengths_lemmas,sentence_lengths_lexical,L_lines_words,L_lines_lemmas,L_lines_lexical,L_closerange_words,L_closerange_lemmas,L_closerange_lexical,L_cliques_words,L_cliques_lemmas,L_cliques_lexical,L_dependency_words,L_dependency_lemmas,L_dependency_lexical,L_IFtrimmed_words,L_IFtrimmed_lemmas,L_IFtrimmed_lexical,average_k_lines_words,average_k_lines_lemmas,average_k_lines_lexical,average_k_closerange_words,average_k_closerange_lemmas,average_k_closerange_lexical,average_k_cliques_words,average_k_cliques_lemmas,average_k_cliques_lexical,average_k_dependency_words,average_k_dependency_lemmas,average_k_dependency_lexical,average_k_IFtrimmed_words,average_k_IFtrimmed_lemmas,average_k_IFtrimmed_lexical
22,20,14,4.025974025974026,3.1842105263157894,3.4835164835164836,3.225108225108225,3.0631578947368423,1.8431372549019607,1,1,1,3.103896103896104,2.8263157894736843,2.5384615384615383,2.0043290043290045,2.0105263157894737,1.5934065934065933,2.272727272727273,2.5,2.142857142857143,3,3,3,21,19,13,2.4545454545454546,2.7,2.2857142857142856,7.454545454545454,6.6,6.285714285714286
36,36,22,4.974603174603175,4.974603174603175,5.7229437229437226,3.988888888888889,4.166666666666667,3.3203463203463204,1,1,1,3.5253968253968253,3.5253968253968253,3.54978354978355,2.011111111111111,2.088888888888889,2.445887445887446,2.388888888888889,2.388888888888889,2.090909090909091,3.1666666666666665,2.9444444444444446,3.727272727272727,35,35,21,2.5,2.5,2.3636363636363638,11.333333333333334,12.5,4.7272727272727275
16,16,11,5.55,5.55,4,2.353846153846154,3.475,2.8,1,1,1,2.816666666666667,2.816666666666667,2.5636363636363635,2.625,2.175,2.5090909090909093,2,2,1.8181818181818181,2.75,2.75,2.727272727272727,15,15,10,2.125,2.125,2,4.375,6.25,3.090909090909091
26,26,14,4.424615384615384,4.424615384615384,3.4505494505494507,3.94,4.136666666666667,2.8131868131868134,1,1,1,2.993846153846154,2.993846153846154,2.41025641025641,1.6523076923076923,1.643076923076923,1.6263736263736264,3,3,3,3.3076923076923075,3,3.2857142857142856,25,25,13,2.8461538461538463,2.8461538461538463,2.7142857142857144,11,11.692307692307692,6.142857142857143
21,21,12,4.2,4.2,2.984848484848485,3.6619047619047618,3.9047619047619047,2.393939393939394,1,1,1,2.9857142857142858,2.9857142857142858,2.696969696969697,2.4523809523809526,2.1714285714285713,2.3333333333333335,2.1904761904761907,2.1904761904761907,2,2.857142857142857,2.857142857142857,3.1666666666666665,20,20,11,2.380952380952381,2.380952380952381,2.3333333333333335,5.904761904761905,6.571428571428571,3.1666666666666665
12,12,7,3.8333333333333335,3.8333333333333335,2.6666666666666665,2.7454545454545456,3.2181818181818183,1.9523809523809523,1,1,1,2.4696969696969697,2.4696969696969697,1.9523809523809523,1.8181818181818181,1.5454545454545454,1.6666666666666667,2,2,1.7142857142857142,2.3333333333333335,2,2.5714285714285716,11,11,6,2.1666666666666665,2.1666666666666665,2,6.166666666666667,6.333333333333333,2.857142857142857
24,23,16,4.2355072463768115,3.652173913043478,3.7666666666666666,4.293478260869565,4.292490118577075,2.75,1,1,1,3.101449275362319,3.059288537549407,3.075,2.3152173913043477,2.150197628458498,2.075,2.4166666666666665,2.5217391304347827,2.125,2.8333333333333335,2.6956521739130435,3.375,23,22,15,2.5833333333333335,2.6956521739130435,2.375,6.666666666666667,6.782608695652174,4
37,38,31,4.036036036036036,4.634423897581792,10.245161290322581,2.7344632768361583,3.106382978723404,5.95483870967742,1,1,1,3.750750750750751,4.0625889046941674,4.397849462365591,2.2477477477477477,2.1635846372688476,1.7440860215053764,2.5405405405405403,2.473684210526316,2.129032258064516,3.72972972972973,3.5789473684210527,3.225806451612903,36,37,30,2.5405405405405403,2.473684210526316,2.2580645161290325,8.64864864864865,9.894736842105264,12.709677419354838
27,27,23,6.7407407407407405,6.7407407407407405,5.865612648221344,4.287749287749287,4.230769230769231,3.5968379446640317,1,1,1,2.9914529914529915,2.9914529914529915,2.984189723320158,2.4586894586894585,2.3333333333333335,2.3320158102766797,2.2962962962962963,2.2962962962962963,2.347826086956522,3.4074074074074074,3.4814814814814814,3.4782608695652173,26,26,22,2.3703703703703702,2.3703703703703702,2.4347826086956523,10.37037037037037,9.11111111111111,9.826086956521738
8,8,6,3,3,2.3333333333333335,1.9642857142857142,1.8095238095238095,1.6666666666666667,1,1,1,2.25,2.25,1.9333333333333333,2.0357142857142856,2,2.066666666666667,1.75,1.75,1.6666666666666667,2.75,2,2.3333333333333335,7,7,5,1.75,1.75,1.6666666666666667,3,3.25,2
21,21,12,7.333333333333333,7.333333333333333,4.333333333333333,4.423809523809524,4.105263157894737,2.3555555555555556,1,1,1,3.5476190476190474,3.5476190476190474,3.0606060606060606,2.580952380952381,2.4095238095238094,2.242424242424242,1.9047619047619047,1.9047619047619047,1.8333333333333333,3.3333333333333335,2.761904761904762,2.5,20,20,11,2.0952380952380953,2.0952380952380953,2.1666666666666665,7.428571428571429,6.666666666666667,3.8333333333333335
9,9,6,3.3333333333333335,3.3333333333333335,2.3333333333333335,2.0555555555555554,2.25,1.6666666666666667,1,1,1,2.1666666666666665,2.1666666666666665,1.6,2.0833333333333335,1.6388888888888888,1.6,1.7777777777777777,1.7777777777777777,1.6666666666666667,2.888888888888889,2.4444444444444446,2.3333333333333335,8,8,5,2,2,2,3.5555555555555554,4.444444444444445,2.6666666666666665
9,9,5,3.3333333333333335,3.3333333333333335,2,2.138888888888889,2.1666666666666665,1.3,1,1,1,2.5555555555555554,2.5555555555555554,2,2.388888888888889,2.111111111111111,1.3,1.7777777777777777,1.7777777777777777,1.6,2.888888888888889,2.6666666666666665,2.8,8,8,4,1.7777777777777777,1.7777777777777777,1.6,2.6666666666666665,2.888888888888889,2.8
22,22,16,4.233766233766234,4.233766233766234,5.666666666666667,2.4842767295597485,2.4842767295597485,3.2083333333333335,1,1,1,3.2510822510822512,3.2510822510822512,2.066666666666667,2.5844155844155843,2.722943722943723,1.325,2.272727272727273,2.272727272727273,2,3.090909090909091,3.090909090909091,3.375,21,21,15,2.5454545454545454,2.5454545454545454,2.125,5.7272727272727275,5.363636363636363,10.5
22,23,13,3.670995670995671,4.944664031620554,3.7564102564102564,2.7662337662337664,2.4552845528455283,2.3461538461538463,1,1,1,2.896103896103896,3.2490118577075098,2.7051282051282053,1.9610389610389611,2.225296442687747,1.7564102564102564,2.3636363636363638,2.260869565217391,2.1538461538461537,3.272727272727273,2.9565217391304346,3.3846153846153846,21,22,12,2.5454545454545454,2.5217391304347827,2.4615384615384617,7.090909090909091,6.608695652173913,5.384615384615385
14,14,8,3.67032967032967,3.67032967032967,2.642857142857143,3.2747252747252746,3.2564102564102564,2.0714285714285716,1,1,1,2.4725274725274726,2.4725274725274726,2,2.8351648351648353,3.142857142857143,2.0714285714285716,2.142857142857143,2.142857142857143,2,2.7142857142857144,2.4285714285714284,2.5,13,13,7,2.2857142857142856,2.2857142857142856,2.25,3.7142857142857144,3.857142857142857,3
